UNIX TIME,TIME,LAT,LONG,ALT,DIST,HR,CAD,TEMP,POWER
1178690400,2007-05-09T06:00:00Z,28.282497,86.240652,5733,0,0,0,No Data,No Data
1178690482,2007-05-09T06:01:22Z,28.279445,86.240464,5543,0.3401991,0,0,No Data,No Data
1178690566,2007-05-09T06:02:46Z,28.276352,86.241246,5625,0.6929391,0,0,No Data,No Data
1178690647,2007-05-09T06:04:07Z,28.273360,86.240945,5722,1.02729,0,0,No Data,No Data
1178690726,2007-05-09T06:05:26Z,28.270418,86.240549,5812,1.357042,0,0,No Data,No Data
1178690805,2007-05-09T06:06:45Z,28.267472,86.240153,5633,1.687204,0,0,No Data,No Data
1178690924,2007-05-09T06:08:44Z,28.263031,86.239587,5491,2.184697,0,0,No Data,No Data
1178691005,2007-05-09T06:10:05Z,28.260045,86.239246,5415,2.518771,0,0,No Data,No Data
1178691105,2007-05-09T06:11:45Z,28.256291,86.238851,5271,2.938478,0,0,No Data,No Data
1178691250,2007-05-09T06:14:10Z,28.250884,86.238570,5140,3.541023,0,0,No Data,No Data
1178691332,2007-05-09T06:15:32Z,28.247806,86.238382,5114,3.884182,0,0,No Data,No Data
1178691459,2007-05-09T06:17:39Z,28.243173,86.237218,5112,4.412434,0,0,No Data,No Data
1178691655,2007-05-09T06:20:55Z,28.235862,86.236627,5263,5.228388,0,0,No Data,No Data
1178691720,2007-05-09T06:22:00Z,28.233438,86.236710,5355,5.498333,0,0,No Data,No Data
1178691892,2007-05-09T06:24:52Z,28.226977,86.236929,5288,6.217896,0,0,No Data,No Data
1178692044,2007-05-09T06:27:24Z,28.221296,86.237190,5371,6.850797,0,0,No Data,No Data
1178692198,2007-05-09T06:29:58Z,28.215565,86.237564,5312,7.4898,0,0,No Data,No Data
1178692331,2007-05-09T06:32:11Z,28.210571,86.238072,5508,8.047906,0,0,No Data,No Data
1178692445,2007-05-09T06:34:05Z,28.206351,86.238635,5463,8.52091,0,0,No Data,No Data
1178692636,2007-05-09T06:37:16Z,28.199267,86.237635,5467,9.315559,0,0,No Data,No Data
1178692744,2007-05-09T06:39:04Z,28.195234,86.237802,5608,9.764806,0,0,No Data,No Data
1178692869,2007-05-09T06:41:09Z,28.190538,86.237673,5654,10.28776,0,0,No Data,No Data
1178692995,2007-05-09T06:43:15Z,28.185839,86.237546,5592,10.81098,0,0,No Data,No Data
1178693057,2007-05-09T06:44:17Z,28.183489,86.237482,5640,11.07262,0,0,No Data,No Data
1178693225,2007-05-09T06:47:05Z,28.177220,86.237312,5536,11.77073,0,0,No Data,No Data
1178693366,2007-05-09T06:49:26Z,28.171968,86.236569,5410,12.3599,0,0,No Data,No Data
1178693465,2007-05-09T06:51:05Z,28.168377,86.235604,5148,12.7707,0,0,No Data,No Data
1178693524,2007-05-09T06:52:04Z,28.166217,86.235024,5030,13.01779,0,0,No Data,No Data
1178693620,2007-05-09T06:53:40Z,28.162639,86.234878,4811,13.41628,0,0,No Data,No Data
1178693719,2007-05-09T06:55:19Z,28.159018,86.233907,4581,13.83045,0,0,No Data,No Data
1178693844,2007-05-09T06:57:24Z,28.154348,86.233587,4401,14.35129,0,0,No Data,No Data
1178693982,2007-05-09T06:59:42Z,28.149739,86.236201,4737,14.92492,0,0,No Data,No Data
1178694166,2007-05-09T07:02:46Z,28.142925,86.237458,5068,15.69339,0,0,No Data,No Data
1178694210,2007-05-09T07:03:30Z,28.141287,86.237598,5138,15.87621,0,0,No Data,No Data
1178694305,2007-05-09T07:05:05Z,28.137959,86.238940,5276,16.26945,0,0,No Data,No Data
1178694453,2007-05-09T07:07:33Z,28.132406,86.238924,5179,16.88757,0,0,No Data,No Data
1178694598,2007-05-09T07:09:58Z,28.127003,86.238439,5110,17.49094,0,0,No Data,No Data
1178694701,2007-05-09T07:11:41Z,28.123142,86.238077,5066,17.92225,0,0,No Data,No Data
1178694784,2007-05-09T07:13:04Z,28.120058,86.237762,4987,18.26687,0,0,No Data,No Data
1178694908,2007-05-09T07:15:08Z,28.115428,86.237289,4758,18.78436,0,0,No Data,No Data
1178695037,2007-05-09T07:17:17Z,28.110605,86.237444,4838,19.32147,0,0,No Data,No Data
1178695212,2007-05-09T07:20:12Z,28.104071,86.238011,4900,20.05102,0,0,No Data,No Data
1178695343,2007-05-09T07:22:23Z,28.099177,86.237529,5025,20.59784,0,0,No Data,No Data
1178695495,2007-05-09T07:24:55Z,28.093528,86.237836,5336,21.22738,0,0,No Data,No Data
1178695685,2007-05-09T07:28:05Z,28.086535,86.236312,5144,22.02008,0,0,No Data,No Data
1178695849,2007-05-09T07:30:49Z,28.080554,86.234770,4718,22.70292,0,0,No Data,No Data
1178695979,2007-05-09T07:32:59Z,28.076065,86.232623,4364,23.24528,0,0,No Data,No Data
1178696144,2007-05-09T07:35:44Z,28.069989,86.231243,4080,23.93516,0,0,No Data,No Data
1178696254,2007-05-09T07:37:34Z,28.065953,86.230460,4112,24.39094,0,0,No Data,No Data
1178696385,2007-05-09T07:39:45Z,28.061054,86.230900,4224,24.93799,0,0,No Data,No Data
1178696540,2007-05-09T07:42:20Z,28.055271,86.230855,4456,25.58171,0,0,No Data,No Data
1178696605,2007-05-09T07:43:25Z,28.052821,86.231111,4496,25.85552,0,0,No Data,No Data
1178696758,2007-05-09T07:45:58Z,28.047122,86.231663,4576,26.49221,0,0,No Data,No Data
1178696888,2007-05-09T07:48:08Z,28.042268,86.232008,4580,27.03361,0,0,No Data,No Data
1178697085,2007-05-09T07:51:25Z,28.034946,86.232820,4780,27.85264,0,0,No Data,No Data
1178697171,2007-05-09T07:52:51Z,28.031719,86.233057,4928,28.21256,0,0,No Data,No Data
1178697276,2007-05-09T07:54:36Z,28.027788,86.232736,4740,28.65123,0,0,No Data,No Data
1178697318,2007-05-09T07:55:18Z,28.026276,86.232225,4600,28.82682,0,0,No Data,No Data
1178697441,2007-05-09T07:57:21Z,28.021777,86.231254,4200,29.33665,0,0,No Data,No Data
1178697568,2007-05-09T07:59:28Z,28.017005,86.231056,4184,29.86817,0,0,No Data,No Data
1178697631,2007-05-09T08:00:31Z,28.014677,86.231456,4100,30.13026,0,0,No Data,No Data
1178697716,2007-05-09T08:01:56Z,28.011518,86.231123,4058,30.48345,0,0,No Data,No Data
1178697801,2007-05-09T08:03:21Z,28.008363,86.230724,3836,30.83683,0,0,No Data,No Data
1178697969,2007-05-09T08:06:09Z,28.002089,86.230463,3776,31.53573,0,0,No Data,No Data
1178698118,2007-05-09T08:08:38Z,27.996501,86.230129,3544,32.15861,0,0,No Data,No Data
1178698204,2007-05-09T08:10:04Z,27.993285,86.230132,3588,32.51656,0,0,No Data,No Data
1178698268,2007-05-09T08:11:08Z,27.990872,86.230137,3492,32.78509,0,0,No Data,No Data
1178698354,2007-05-09T08:12:34Z,27.987655,86.230145,3646,33.14316,0,0,No Data,No Data
1178698440,2007-05-09T08:14:00Z,27.984438,86.230152,3598,33.50125,0,0,No Data,No Data
1178698590,2007-05-09T08:16:30Z,27.978880,86.229300,3760,34.12562,0,0,No Data,No Data
1178698658,2007-05-09T08:17:38Z,27.976550,86.228206,3560,34.4063,0,0,No Data,No Data
1178698793,2007-05-09T08:19:53Z,27.971867,86.226008,2926,34.97061,0,0,No Data,No Data
1178698929,2007-05-09T08:22:09Z,27.967150,86.223795,2280,35.53899,0,0,No Data,No Data
1178699093,2007-05-09T08:24:53Z,27.961346,86.225952,2780,36.21903,0,0,No Data,No Data
1178699185,2007-05-09T08:26:25Z,27.958049,86.227138,2990,36.60414,0,0,No Data,No Data
1178699337,2007-05-09T08:28:57Z,27.952430,86.226162,2792,37.23697,0,0,No Data,No Data
1178699513,2007-05-09T08:31:53Z,27.945921,86.227251,2770,37.96943,0,0,No Data,No Data
1178699645,2007-05-09T08:34:05Z,27.941051,86.228302,3158,38.52135,0,0,No Data,No Data
1178699733,2007-05-09T08:35:33Z,27.937810,86.229053,3382,38.88956,0,0,No Data,No Data
1178699906,2007-05-09T08:38:26Z,27.931365,86.228670,3334,39.60798,0,0,No Data,No Data
1178700037,2007-05-09T08:40:37Z,27.926525,86.227741,2916,40.1544,0,0,No Data,No Data
1178700145,2007-05-09T08:42:25Z,27.922486,86.227444,3200,40.60497,0,0,No Data,No Data
1178700232,2007-05-09T08:43:52Z,27.919261,86.227975,3216,40.96775,0,0,No Data,No Data
1178700363,2007-05-09T08:46:03Z,27.914436,86.228839,3282,41.51154,0,0,No Data,No Data
1178700514,2007-05-09T08:48:34Z,27.908783,86.228524,3340,42.14157,0,0,No Data,No Data
1178700644,2007-05-09T08:50:44Z,27.903928,86.228982,3112,42.68387,0,0,No Data,No Data
1178700754,2007-05-09T08:52:34Z,27.899862,86.228288,2828,43.1416,0,0,No Data,No Data
1178700875,2007-05-09T08:54:35Z,27.895718,86.226230,2640,43.64536,0,0,No Data,No Data
1178701053,2007-05-09T08:57:33Z,27.889830,86.222708,1712,44.38675,0,0,No Data,No Data
1178701295,2007-05-09T09:01:35Z,27.880782,86.222634,1440,45.39403,0,0,No Data,No Data
1178701580,2007-05-09T09:06:20Z,27.870126,86.222128,1366,46.58139,0,0,No Data,No Data
1178701624,2007-05-09T09:07:04Z,27.868482,86.222031,1320,46.76463,0,0,No Data,No Data
1178701863,2007-05-09T09:11:03Z,27.859508,86.222300,1392,47.76402,0,0,No Data,No Data
1178701974,2007-05-09T09:12:54Z,27.855380,86.221939,1488,48.22491,0,0,No Data,No Data
1178702234,2007-05-09T09:17:14Z,27.845664,86.222680,1639,49.30895,0,0,No Data,No Data
1178702280,2007-05-09T09:18:00Z,27.843986,86.222369,1608,49.49824,0,0,No Data,No Data
1178702415,2007-05-09T09:20:15Z,27.838959,86.221496,1417,50.06435,0,0,No Data,No Data
1178702594,2007-05-09T09:23:14Z,27.832313,86.220853,1184,50.80686,0,0,No Data,No Data
1178702658,2007-05-09T09:24:18Z,27.829903,86.221155,1321,51.07676,0,0,No Data,No Data
1178702831,2007-05-09T09:27:11Z,27.823486,86.221959,1566,51.79544,0,0,No Data,No Data
1178702896,2007-05-09T09:28:16Z,27.821073,86.222190,1531,52.06502,0,0,No Data,No Data
1178703075,2007-05-09T09:31:15Z,27.814387,86.221409,1339,52.81327,0,0,No Data,No Data
1178703164,2007-05-09T09:32:44Z,27.811063,86.221157,1267,53.18412,0,0,No Data,No Data
1178703319,2007-05-09T09:35:19Z,27.805284,86.220939,1172,53.8278,0,0,No Data,No Data
1178703450,2007-05-09T09:37:30Z,27.800372,86.220939,1219,54.37455,0,0,No Data,No Data
1178703599,2007-05-09T09:39:59Z,27.794922,86.222306,1539,54.99602,0,0,No Data,No Data
1178703663,2007-05-09T09:41:03Z,27.792562,86.222740,1740,55.26218,0,0,No Data,No Data
1178703833,2007-05-09T09:43:53Z,27.786232,86.223666,1855,55.97275,0,0,No Data,No Data
1178703983,2007-05-09T09:46:23Z,27.780667,86.224289,1841,56.59525,0,0,No Data,No Data
1178704133,2007-05-09T09:48:53Z,27.775081,86.224790,1999,57.21903,0,0,No Data,No Data
1178704264,2007-05-09T09:51:04Z,27.770146,86.224601,2020,57.76872,0,0,No Data,No Data
1178704384,2007-05-09T09:53:04Z,27.765786,86.223504,1850,58.26593,0,0,No Data,No Data
1178704532,2007-05-09T09:55:32Z,27.760434,86.221814,1369,58.88455,0,0,No Data,No Data
1178704654,2007-05-09T09:57:34Z,27.756009,86.220574,1101,59.39199,0,0,No Data,No Data
1178704764,2007-05-09T09:59:24Z,27.751912,86.220589,1139,59.84808,0,0,No Data,No Data
1178704933,2007-05-09T10:02:13Z,27.745612,86.221499,1334,60.55506,0,0,No Data,No Data
1178705079,2007-05-09T10:04:39Z,27.740264,86.222783,1702,61.1637,0,0,No Data,No Data
1178705130,2007-05-09T10:05:30Z,27.738726,86.224031,1713,61.37452,0,0,No Data,No Data
1178705277,2007-05-09T10:07:57Z,27.733297,86.224967,1930,61.98585,0,0,No Data,No Data
1178705402,2007-05-09T10:10:02Z,27.728665,86.225791,2121,62.50788,0,0,No Data,No Data
1178705514,2007-05-09T10:11:54Z,27.724493,86.225497,1941,62.97319,0,0,No Data,No Data
1178705659,2007-05-09T10:14:19Z,27.719107,86.226452,2207,63.58014,0,0,No Data,No Data
1178705742,2007-05-09T10:15:42Z,27.716083,86.227133,2375,63.92341,0,0,No Data,No Data
1178705895,2007-05-09T10:18:15Z,27.710346,86.227004,2325,64.56213,0,0,No Data,No Data
1178705987,2007-05-09T10:19:47Z,27.706924,86.226529,2184,64.9459,0,0,No Data,No Data
1178706111,2007-05-09T10:21:51Z,27.702318,86.227303,2305,65.46428,0,0,No Data,No Data
1178706173,2007-05-09T10:22:53Z,27.700021,86.227694,2383,65.72282,0,0,No Data,No Data
1178706340,2007-05-09T10:25:40Z,27.693853,86.228574,2770,66.41494,0,0,No Data,No Data
1178706380,2007-05-09T10:26:20Z,27.692350,86.228891,2781,66.58513,0,0,No Data,No Data
1178706551,2007-05-09T10:29:11Z,27.685959,86.229137,2753,67.29697,0,0,No Data,No Data
1178706720,2007-05-09T10:32:00Z,27.679748,86.227795,2426,68.0009,0,0,No Data,No Data
1178706781,2007-05-09T10:33:01Z,27.677504,86.228279,2600,68.25516,0,0,No Data,No Data
1178706940,2007-05-09T10:35:40Z,27.671861,86.230345,2862,68.91557,0,0,No Data,No Data
1178707056,2007-05-09T10:37:36Z,27.667540,86.229687,2746,69.40097,0,0,No Data,No Data
1178707187,2007-05-09T10:39:47Z,27.662826,86.228129,2571,69.94771,0,0,No Data,No Data
1178707332,2007-05-09T10:42:12Z,27.657502,86.227089,2354,70.54918,0,0,No Data,No Data
1178707423,2007-05-09T10:43:43Z,27.654106,86.226765,2258,70.92851,0,0,No Data,No Data
1178707581,2007-05-09T10:46:21Z,27.648198,86.226292,2076,71.58788,0,0,No Data,No Data
1178707672,2007-05-09T10:47:52Z,27.644817,86.226021,2063,71.96516,0,0,No Data,No Data
1178707803,2007-05-09T10:50:03Z,27.639917,86.226004,2055,72.51059,0,0,No Data,No Data
1178707867,2007-05-09T10:51:07Z,27.637489,86.226037,1993,72.78091,0,0,No Data,No Data
1178708046,2007-05-09T10:54:06Z,27.630824,86.225732,1969,73.52352,0,0,No Data,No Data
1178708113,2007-05-09T10:55:13Z,27.628300,86.225571,1954,73.8049,0,0,No Data,No Data
1178708291,2007-05-09T10:58:11Z,27.621656,86.225333,1993,74.54488,0,0,No Data,No Data
1178708423,2007-05-09T11:00:23Z,27.616691,86.225197,2018,75.0977,0,0,No Data,No Data
1178708512,2007-05-09T11:01:52Z,27.613380,86.225106,1934,75.46636,0,0,No Data,No Data
1178708667,2007-05-09T11:04:27Z,27.607583,86.224948,1926,76.11189,0,0,No Data,No Data
1178708735,2007-05-09T11:05:35Z,27.605038,86.224770,1810,76.39573,0,0,No Data,No Data
1178708909,2007-05-09T11:08:29Z,27.598533,86.224810,2061,77.11983,0,0,No Data,No Data
1178709068,2007-05-09T11:11:08Z,27.592576,86.224369,1816,77.78442,0,0,No Data,No Data
1178709177,2007-05-09T11:12:57Z,27.588498,86.224389,1747,78.23841,0,0,No Data,No Data
1178709338,2007-05-09T11:15:38Z,27.587850,86.231125,1805,78.90702,0,0,No Data,No Data
1178709530,2007-05-09T11:18:50Z,27.587768,86.239241,1765,79.70789,0,0,No Data,No Data
1178709763,2007-05-09T11:22:43Z,27.588143,86.249086,1935,80.68028,0,0,No Data,No Data
1178709858,2007-05-09T11:24:18Z,27.588338,86.253094,2033,81.0764,0,0,No Data,No Data
1178709976,2007-05-09T11:26:16Z,27.588561,86.258071,2090,81.56816,0,0,No Data,No Data
1178710070,2007-05-09T11:27:50Z,27.590109,86.261599,1997,81.95666,0,0,No Data,No Data
1178710149,2007-05-09T11:29:09Z,27.589932,86.264960,1872,82.2889,0,0,No Data,No Data
1178710246,2007-05-09T11:30:46Z,27.590159,86.269015,2061,82.68983,0,0,No Data,No Data
1178710361,2007-05-09T11:32:41Z,27.590322,86.273880,2181,83.17021,0,0,No Data,No Data
1178710455,2007-05-09T11:34:15Z,27.590505,86.277857,2231,83.56325,0,0,No Data,No Data
1178710548,2007-05-09T11:35:48Z,27.590642,86.281753,2245,83.94804,0,0,No Data,No Data
1178710653,2007-05-09T11:37:33Z,27.590567,86.286205,2099,84.38741,0,0,No Data,No Data
1178710738,2007-05-09T11:38:58Z,27.590527,86.289804,2124,84.74257,0,0,No Data,No Data
1178710863,2007-05-09T11:41:03Z,27.590939,86.295061,2365,85.26339,0,0,No Data,No Data
1178710960,2007-05-09T11:42:40Z,27.591192,86.299143,2363,85.6672,0,0,No Data,No Data
1178711039,2007-05-09T11:43:59Z,27.590991,86.302474,2355,85.99667,0,0,No Data,No Data
1178711137,2007-05-09T11:45:37Z,27.591517,86.306570,2248,86.40514,0,0,No Data,No Data
1178711253,2007-05-09T11:47:33Z,27.591697,86.311449,2121,86.88702,0,0,No Data,No Data
1178711369,2007-05-09T11:49:29Z,27.591895,86.316341,2210,87.37029,0,0,No Data,No Data
1178711486,2007-05-09T11:51:26Z,27.592871,86.321176,2372,87.85959,0,0,No Data,No Data
1178711586,2007-05-09T11:53:06Z,27.593215,86.325382,2536,88.27637,0,0,No Data,No Data
1178711720,2007-05-09T11:55:20Z,27.593868,86.330970,2733,88.83258,0,0,No Data,No Data
1178711827,2007-05-09T11:57:07Z,27.594401,86.335444,2959,89.27803,0,0,No Data,No Data
1178711931,2007-05-09T11:58:51Z,27.594301,86.339845,3088,89.71244,0,0,No Data,No Data
1178712017,2007-05-09T12:00:17Z,27.594302,86.343495,3055,90.07261,0,0,No Data,No Data
1178712106,2007-05-09T12:01:46Z,27.594352,86.347215,2957,90.43977,0,0,No Data,No Data
1178712189,2007-05-09T12:03:09Z,27.593330,86.350539,2796,90.78695,0,0,No Data,No Data
1178712297,2007-05-09T12:04:57Z,27.593343,86.355116,2714,91.23858,0,0,No Data,No Data
1178712393,2007-05-09T12:06:33Z,27.592771,86.359113,2896,91.63805,0,0,No Data,No Data
1178712479,2007-05-09T12:07:59Z,27.592772,86.362758,3020,91.99772,0,0,No Data,No Data
1178712566,2007-05-09T12:09:26Z,27.591872,86.366272,3052,92.35865,0,0,No Data,No Data
1178712670,2007-05-09T12:11:10Z,27.591740,86.370644,2933,92.79027,0,0,No Data,No Data
1178712744,2007-05-09T12:12:24Z,27.591372,86.373768,2798,93.10131,0,0,No Data,No Data
1178712808,2007-05-09T12:13:28Z,27.590365,86.376227,2718,93.36856,0,0,No Data,No Data
1178712944,2007-05-09T12:15:44Z,27.589860,86.381925,2449,93.93358,0,0,No Data,No Data
1178713045,2007-05-09T12:17:25Z,27.589618,86.386166,2284,94.35297,0,0,No Data,No Data
1178713121,2007-05-09T12:18:41Z,27.589280,86.389368,2151,94.67122,0,0,No Data,No Data
1178713236,2007-05-09T12:20:36Z,27.588763,86.394171,1918,95.14867,0,0,No Data,No Data
1178713377,2007-05-09T12:22:57Z,27.588403,86.400120,1713,95.73708,0,0,No Data,No Data
1178713524,2007-05-09T12:25:24Z,27.588215,86.406308,1829,96.34802,0,0,No Data,No Data
1178713632,2007-05-09T12:27:12Z,27.588189,86.410871,1729,96.79832,0,0,No Data,No Data
1178713764,2007-05-09T12:29:24Z,27.588254,86.416476,1679,97.35147,0,0,No Data,No Data
1178713894,2007-05-09T12:31:34Z,27.588895,86.421888,2045,97.89028,0,0,No Data,No Data
1178714022,2007-05-09T12:33:42Z,27.589522,86.427262,2310,98.42513,0,0,No Data,No Data
1178714145,2007-05-09T12:35:45Z,27.590001,86.432444,2419,98.93925,0,0,No Data,No Data
1178714212,2007-05-09T12:36:52Z,27.590038,86.435236,2483,99.21478,0,0,No Data,No Data
1178714319,2007-05-09T12:38:39Z,27.589997,86.439757,2467,99.66093,0,0,No Data,No Data
1178714495,2007-05-09T12:41:35Z,27.590102,86.447207,2503,100.3961,0,0,No Data,No Data
1178714598,2007-05-09T12:43:18Z,27.589907,86.451552,2425,100.8254,0,0,No Data,No Data
1178714682,2007-05-09T12:44:42Z,27.589815,86.455107,2329,101.1764,0,0,No Data,No Data
1178714793,2007-05-09T12:46:33Z,27.589886,86.459769,2248,101.6365,0,0,No Data,No Data
1178714929,2007-05-09T12:48:49Z,27.590090,86.465498,2437,102.2023,0,0,No Data,No Data
1178715043,2007-05-09T12:50:43Z,27.590311,86.470323,2528,102.6791,0,0,No Data,No Data
1178715203,2007-05-09T12:53:23Z,27.590620,86.477069,2480,103.3456,0,0,No Data,No Data
1178715317,2007-05-09T12:55:17Z,27.590840,86.481879,2545,103.8209,0,0,No Data,No Data
1178715384,2007-05-09T12:56:24Z,27.590919,86.484707,2708,104.1001,0,0,No Data,No Data
1178715540,2007-05-09T12:59:00Z,27.592520,86.491037,2901,104.7496,0,0,No Data,No Data
1178715663,2007-05-09T13:01:03Z,27.593088,86.496196,3016,105.2626,0,0,No Data,No Data
1178715761,2007-05-09T13:02:41Z,27.593542,86.500310,3244,105.6717,0,0,No Data,No Data
1178715897,2007-05-09T13:04:57Z,27.594592,86.505941,3899,106.2395,0,0,No Data,No Data
1178715987,2007-05-09T13:06:27Z,27.594749,86.509727,3977,106.6135,0,0,No Data,No Data
1178716076,2007-05-09T13:07:56Z,27.596151,86.513141,3860,106.9848,0,0,No Data,No Data
1178716178,2007-05-09T13:09:38Z,27.595907,86.517423,3831,107.4082,0,0,No Data,No Data
1178716258,2007-05-09T13:10:58Z,27.595640,86.520783,3679,107.741,0,0,No Data,No Data
1178716337,2007-05-09T13:12:17Z,27.595350,86.524126,3594,108.0724,0,0,No Data,No Data
1178716462,2007-05-09T13:14:22Z,27.595148,86.529379,3481,108.5912,0,0,No Data,No Data
1178716505,2007-05-09T13:15:05Z,27.595172,86.531216,3477,108.7725,0,0,No Data,No Data
1178716632,2007-05-09T13:17:12Z,27.595050,86.536554,3415,109.2994,0,0,No Data,No Data
1178716670,2007-05-09T13:17:50Z,27.594831,86.538166,3370,109.4603,0,0,No Data,No Data
1178716828,2007-05-09T13:20:28Z,27.594973,86.544829,2971,110.118,0,0,No Data,No Data
1178716947,2007-05-09T13:22:27Z,27.594454,86.549826,2785,110.6144,0,0,No Data,No Data
1178717062,2007-05-09T13:24:22Z,27.594733,86.554638,2940,111.0903,0,0,No Data,No Data
1178717153,2007-05-09T13:25:53Z,27.594979,86.558502,3093,111.4725,0,0,No Data,No Data
1178717273,2007-05-09T13:27:53Z,27.595528,86.563533,3325,111.9727,0,0,No Data,No Data
1178717371,2007-05-09T13:29:31Z,27.596025,86.567599,3454,112.3777,0,0,No Data,No Data
1178717431,2007-05-09T13:30:31Z,27.595806,86.570139,3355,112.6295,0,0,No Data,No Data
1178717554,2007-05-09T13:32:34Z,27.595468,86.575312,3288,113.1413,0,0,No Data,No Data
1178717645,2007-05-09T13:34:05Z,27.595687,86.579134,3282,113.5193,0,0,No Data,No Data
1178717786,2007-05-09T13:36:26Z,27.595147,86.585063,3141,114.1074,0,0,No Data,No Data
1178717909,2007-05-09T13:38:29Z,27.594794,86.590250,2955,114.6208,0,0,No Data,No Data
1178717975,2007-05-09T13:39:35Z,27.594855,86.593034,2825,114.8956,0,0,No Data,No Data
1178718120,2007-05-09T13:42:00Z,27.594513,86.599156,2821,115.5008,0,0,No Data,No Data
1178718291,2007-05-09T13:44:51Z,27.594397,86.606371,2771,116.2129,0,0,No Data,No Data
1178718430,2007-05-09T13:47:10Z,27.594882,86.612198,2923,116.7904,0,0,No Data,No Data
1178718562,2007-05-09T13:49:22Z,27.595042,86.617780,3083,117.3414,0,0,No Data,No Data
1178718684,2007-05-09T13:51:24Z,27.594529,86.622893,2904,117.8492,0,0,No Data,No Data
1178718786,2007-05-09T13:53:06Z,27.594099,86.627167,2798,118.2736,0,0,No Data,No Data
1178718889,2007-05-09T13:54:49Z,27.593748,86.631504,2531,118.7034,0,0,No Data,No Data
1178718972,2007-05-09T13:56:12Z,27.593467,86.634981,2316,119.0479,0,0,No Data,No Data
1178719033,2007-05-09T13:57:13Z,27.593166,86.637535,2228,119.3021,0,0,No Data,No Data
1178719177,2007-05-09T13:59:37Z,27.592637,86.643619,2080,119.9054,0,0,No Data,No Data
1178719285,2007-05-09T14:01:25Z,27.592550,86.648155,2098,120.3531,0,0,No Data,No Data
1178719370,2007-05-09T14:02:50Z,27.592421,86.651750,2056,120.7081,0,0,No Data,No Data
1178719498,2007-05-09T14:04:58Z,27.592227,86.657146,2018,121.241,0,0,No Data,No Data
1178719646,2007-05-09T14:07:26Z,27.591855,86.663368,1818,121.8563,0,0,No Data,No Data
1178719709,2007-05-09T14:08:29Z,27.591733,86.666060,1747,122.1223,0,0,No Data,No Data
1178719837,2007-05-09T14:10:37Z,27.591489,86.671449,1701,122.6548,0,0,No Data,No Data
1178719943,2007-05-09T14:12:23Z,27.591248,86.675927,1531,123.0975,0,0,No Data,No Data
1178720034,2007-05-09T14:13:54Z,27.591465,86.679725,1588,123.4731,0,0,No Data,No Data
1178720170,2007-05-09T14:16:10Z,27.591912,86.685470,1825,124.0422,0,0,No Data,No Data
1178720261,2007-05-09T14:17:41Z,27.592209,86.689291,1872,124.4208,0,0,No Data,No Data
1178720374,2007-05-09T14:19:34Z,27.592579,86.694058,1984,124.893,0,0,No Data,No Data
1178720509,2007-05-09T14:21:49Z,27.592935,86.699724,2308,125.4536,0,0,No Data,No Data
1178720642,2007-05-09T14:24:02Z,27.593231,86.705353,2404,126.01,0,0,No Data,No Data
1178720687,2007-05-09T14:24:47Z,27.593299,86.707214,2432,126.1938,0,0,No Data,No Data
1178720819,2007-05-09T14:26:59Z,27.593497,86.712789,2473,126.7443,0,0,No Data,No Data
1178720950,2007-05-09T14:29:10Z,27.593591,86.718316,2552,127.2898,0,0,No Data,No Data
1178721058,2007-05-09T14:30:58Z,27.593613,86.722898,2513,127.7419,0,0,No Data,No Data
1178721123,2007-05-09T14:32:03Z,27.593619,86.725643,2552,128.0128,0,0,No Data,No Data
1178721231,2007-05-09T14:33:51Z,27.593629,86.730219,2552,128.4644,0,0,No Data,No Data
1178721318,2007-05-09T14:35:18Z,27.593635,86.733880,2525,128.8256,0,0,No Data,No Data
1178721426,2007-05-09T14:37:06Z,27.593640,86.738453,2563,129.2769,0,0,No Data,No Data
1178721561,2007-05-09T14:39:21Z,27.594134,86.744098,2765,129.8367,0,0,No Data,No Data
1178721629,2007-05-09T14:40:29Z,27.594455,86.746938,2939,130.1192,0,0,No Data,No Data
1178721764,2007-05-09T14:42:44Z,27.595123,86.752608,3247,130.6836,0,0,No Data,No Data
1178721854,2007-05-09T14:44:14Z,27.595571,86.756377,3470,131.0588,0,0,No Data,No Data
1178722024,2007-05-09T14:47:04Z,27.595076,86.763517,3150,131.7654,0,0,No Data,No Data
1178722129,2007-05-09T14:48:49Z,27.594327,86.767880,2977,132.2039,0,0,No Data,No Data
1178722214,2007-05-09T14:50:14Z,27.593831,86.771410,2706,132.5566,0,0,No Data,No Data
1178722320,2007-05-09T14:52:00Z,27.593414,86.775884,2407,133.0005,0,0,No Data,No Data
1178722406,2007-05-09T14:53:26Z,27.593115,86.779478,2439,133.3567,0,0,No Data,No Data
1178722499,2007-05-09T14:54:59Z,27.594471,86.783090,2270,133.7438,0,0,No Data,No Data
1178722652,2007-05-09T14:57:32Z,27.594798,86.789563,2465,134.3836,0,0,No Data,No Data
1178722764,2007-05-09T14:59:24Z,27.595388,86.794240,2771,134.8497,0,0,No Data,No Data
1178722858,2007-05-09T15:00:58Z,27.596628,86.797965,2835,135.2424,0,0,No Data,No Data
1178722991,2007-05-09T15:03:11Z,27.597280,86.803533,3044,135.7965,0,0,No Data,No Data
1178723102,2007-05-09T15:05:02Z,27.597943,86.808171,3320,136.26,0,0,No Data,No Data
1178723169,2007-05-09T15:06:09Z,27.598349,86.810946,3544,136.5375,0,0,No Data,No Data
